"site","plotID","subplotID","eventID","shannon_exotic","evenness_exotic","nspp_exotic","shannon_notexotic","evenness_notexotic","nspp_notexotic","shannon_native","evenness_native","nspp_native","shannon_unknown","evenness_unknown","nspp_unknown","rel_cover_exotic","rel_cover_native","rel_cover_unknown","cover_exotic","cover_native","cover_unknown","rel_cover_notexotic","cover_notexotic","shannon_total","evenness_total","nspp_total","shannon_family","evenness_family","nfamilies","scale","invaded"
"MLBS","MLBS_001","plot","2023",0,0,1,2.49523301420189,0.0567098412318612,44,2.40598525727349,0.0601496314318372,40,0.554692398998209,0.138673099749552,4,0.00989010989010989,0.72967032967033,0.26043956043956,0.75,55.3333333333333,19.75,0.99010989010989,75.0833333333333,2.52605084950514,0.0561344633223365,45,2.29640062894109,0.0998435056061345,23,"plot","invaded"
"MLBS","MLBS_002","plot","2023",0,0,0,3.00523333969474,0.0556524692536062,54,2.91464521539024,0.0571499061841224,51,0.79026796807459,0.263422656024863,3,0,0.952029520295203,0.0479704797047971,0,21.5,1.08333333333333,1,22.5833333333333,3.00523333969474,0.0556524692536062,54,2.43511785582045,0.0839695812351881,29,"plot","not_invaded"
"MLBS","MLBS_003","plot","2023",0.693147180559945,0.346573590279973,2,1.10105482971856,0.0282321751209887,39,0.971539058114058,0.0269871960587238,36,0.669252499593498,0.223084166531166,3,0.00401203610832497,0.964894684052156,0.0310932798395185,0.333333333333333,80.1666666666667,2.58333333333333,0.995987963891675,82.75,1.12556251298233,0.0274527442190813,41,1.05154766526444,0.043814486052685,24,"plot","invaded"
"MLBS","MLBS_004","plot","2023",0,0,0,2.93319249514199,0.0473095563732579,62,2.8409621420939,0.0481519007134559,59,1.09337471755665,0.364458239185549,3,0,0.963917525773196,0.0360824742268041,0,31.1666666666667,1.16666666666667,1,32.3333333333333,2.93319249514199,0.0473095563732579,62,2.35045121602603,0.0734516005008135,32,"plot","not_invaded"
"MLBS","MLBS_005","plot","2023",0,0,0,2.23272614068171,0.0558181535170428,40,2.16338408747388,0.0600940024298301,36,1.27302833658963,0.318257084147406,4,0,0.983516483516483,0.0164835164835165,0,44.75,0.75,1,45.5,2.23272614068171,0.0558181535170428,40,2.09161326877516,0.0836645307510063,25,"plot","not_invaded"
"MLBS","MLBS_006","plot","2023",0.649687712747623,0.216562570915874,3,3.39564250208351,0.0329674029328496,103,3.31127844228827,0.034136891157611,97,1.53279928371319,0.255466547285531,6,0.0176140912730184,0.951160928742995,0.0312249799839872,1.83333333333333,99,3.25,0.982385908726982,102.25,3.43587735007974,0.0324139372649032,106,2.69671145253625,0.0691464475009295,39,"plot","invaded"
"MLBS","MLBS_007","plot","2023",0,0,0,3.43354155168607,0.0476880771067509,72,3.39256440450424,0.0491676000652788,69,0.955699891112534,0.318566630370845,3,0,0.985200845665962,0.014799154334038,0,38.8333333333333,0.583333333333333,1,39.4166666666667,3.43354155168607,0.0476880771067509,72,2.47185918258048,0.0823953060860161,30,"plot","not_invaded"
"MLBS","MLBS_008","plot","2023",0,0,0,2.94820134141459,0.0446697172941605,66,2.81903752527517,0.0454683471818576,62,0.860182311491206,0.215045577872802,4,0,0.90014064697609,0.09985935302391,0,53.3333333333333,5.91666666666667,1,59.25,2.94820134141459,0.0446697172941605,66,2.55028471078273,0.077281354872204,33,"plot","not_invaded"
"MLBS","MLBS_009","plot","2023",0.950270539233234,0.316756846411078,3,2.99767348722998,0.0483495723746772,62,2.92931476303948,0.0505054269489566,58,0.40189451205077,0.100473628012693,4,0.00881834215167548,0.881834215167548,0.109347442680776,0.416666666666667,41.6666666666667,5.16666666666667,0.991181657848325,46.8333333333333,3.03011701680887,0.0466171848739826,65,2.22810861124567,0.0718744713305053,31,"plot","invaded"
"MLBS","MLBS_010","plot","2023",1.01140426470735,0.337134754902451,3,2.58054357884425,0.0452726943656886,57,2.48185722071452,0.0459603189021207,54,0.228847278021102,0.0762824260070341,3,0.00610376398779247,0.91353001017294,0.0803662258392676,0.5,74.8333333333333,6.58333333333333,0.993896236012208,81.4166666666667,2.60817319568929,0.0434695532614882,60,2.33093080387414,0.080376924271522,29,"plot","invaded"
"MLBS","MLBS_011","plot","2023",0,0,0,2.57917097723772,0.0495994418699562,52,2.40320896313431,0.0500668533986314,48,1.21950262687648,0.304875656719121,4,0,0.926229508196721,0.0737704918032787,0,56.5,4.5,1,61,2.57917097723772,0.0495994418699562,52,2.24265769077192,0.09344407044883,24,"plot","not_invaded"
"MLBS","MLBS_012","plot","2023",0,0,1,3.22040697892457,0.0657225914066239,49,3.1873803919463,0.0678166040839637,47,0.636514168294813,0.318257084147406,2,0.00374531835205993,0.98501872659176,0.0112359550561798,0.0833333333333333,21.9166666666667,0.25,0.99625468164794,22.1666666666667,3.23300985037779,0.0646601970075558,50,2.44270674118961,0.0977082696475844,25,"plot","invaded"
